sprint,data_snapshot,item_id,tipo,numero,titulo,status,responsaveis,labels,estado,criado_em,fechado_em,atualizado_em,repositorio,url
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2TjfA,ISSUE,17,S02-04 — Validar idade dos repositórios e Pull Requests aceitas,In review,Victorgabrielcruz,,OPEN,2026-08-12T20:10:44Z,,2026-08-21T00:29:35Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/17
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2TljY,ISSUE,20,S02-07 — Avaliar qualidade e completude dos dados coletados,Done,Victorgabrielcruz,,CLOSED,2026-08-12T20:14:55Z,2026-08-21T12:39:05Z,2026-08-21T12:39:06Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/20
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2Tl30,ISSUE,21,S02-08 — Registrar evidências do fluxo de trabalho da sprint,In progress,JonathaDaSilva,,OPEN,2026-08-12T20:15:31Z,,2026-08-21T00:13:43Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/21
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2Slx0,ISSUE,10,S01-03 — Implementar métricas de linguagem e fechamento de issues,Done,matheus-0063,,CLOSED,2026-08-12T17:50:02Z,2026-08-14T02:04:25Z,2026-08-14T02:04:27Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/10
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2Tkkg,ISSUE,19,S02-06 — Validar linguagem e percentual de issues fechadas,Done,matheus-0063,,CLOSED,2026-08-12T20:12:48Z,2026-08-21T01:58:20Z,2026-08-21T01:58:20Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/19
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2TiTA,ISSUE,14,S02-01 — Implementar coleta paginada dos 1.000 repositórios,Done,JonathaDaSilva,,CLOSED,2026-08-12T20:07:59Z,2026-08-21T00:13:40Z,2026-08-21T00:13:42Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/14
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2Tj5s,ISSUE,18,S02-05 — Validar releases e métricas de atividade dos repositórios,Done,matheus-0063,,CLOSED,2026-08-12T20:11:37Z,2026-08-21T00:20:28Z,2026-08-21T00:20:30Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/18
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg3KkAs,ISSUE,36,S02-09-Correção Pipeline,Done,matheus-0063,,CLOSED,2026-08-19T14:27:20Z,2026-08-20T22:57:26Z,2026-08-20T22:57:28Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/36
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2Tiu0,ISSUE,15,S02-02 — Implementar persistência dos dados em CSV,Done,JonathaDaSilva,,CLOSED,2026-08-12T20:08:56Z,2026-08-21T00:13:40Z,2026-08-21T00:13:41Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/15
Lab01S01,2026-08-21T17:52:48Z,PVTI_lAHOBrraXM4BgLUqzg2TjDo,ISSUE,16,S02-03 — Construir pipeline de transformação e cálculo das métricas,Done,matheus-0063,,CLOSED,2026-08-12T20:09:40Z,2026-08-20T00:34:07Z,2026-08-20T00:34:09Z,Victorgabrielcruz/lab-medicao-e-experimentacao-de-software,https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/16
