Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Priority	Estimate	Size
RF-01 — Elaborar o Relatório Final do Lab02	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/83	matheus-0063	Ready					
RF-02 — Revisar consistência e reprodutibilidade da entrega	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/84	matheus-0063	Ready					
RF-03 — Fechar o GitHub Projects e preparar a entrega	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/85	matheus-0063	Ready					
S03-08 — Encerrar a sprint e preparar os resultados para o relatório [S03]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/82	Victorgabrielcruz	In progress					
S03-05 — Consolidar a análise estatística [S03]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/79	Victorgabrielcruz	Done					
S03-06 — Construir o dashboard de visualização [S03]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/80	Victorgabrielcruz	Done					
S03-07 — Revisar ameaças à validade e desvios [S03]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/81	Victorgabrielcruz	Done					
S03-01 — Implementar e executar a validação do dataset [S03]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/75	JonathaDaSilva	Done	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/pull/126				
S02-03 — Executar trial P01-K03-manual (bloco B2) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/97	JonathaDaSilva	Done	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/pull/117				
S02-03 — Executar trial P02-K04-ai (bloco B2) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/104	matheus-0063	Done					
S02-03 — Executar trial P03-K03-ai (bloco B2) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/109	Victorgabrielcruz	Done					
S02-02 — Executar trial P03-K01-manual (bloco B1) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/107	Victorgabrielcruz	Done					
S02-03 — Executar trial P03-K04-manual (bloco B2) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/110	Victorgabrielcruz	Done					
S02-02 — Executar trial P03-K02-ai (bloco B1) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/108	Victorgabrielcruz	Done					
S02-04 — Executar trial P03-K06-ai (bloco B3) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/112	Victorgabrielcruz	Done					
S02-04 — Executar trial P03-K05-manual (bloco B3) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/111	Victorgabrielcruz	Done					
S02-02 — Executar trial P01-K02-manual (bloco B1) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/116	JonathaDaSilva	Done					
S02-04 — Executar trial P02-K06-manual (bloco B3) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/106	matheus-0063	Done					
S02-03 — Executar trial P02-K03-manual (bloco B2) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/103	matheus-0063	Done					
S02-04 — Executar trial P02-K05-ai (bloco B3) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/105	matheus-0063	Done					
S02-02 — Executar trial P02-K02-manual (bloco B1) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/102	matheus-0063	Done					
S02-04 — Executar trial P01-K05-manual (bloco B3) [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/99	JonathaDaSilva	Done	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/pull/118				
S01-07 — Implementar a alocação contrabalanceada [S01]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/66	Victorgabrielcruz	Done					
S01-S02 - Teste manual	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/94	JonathaDaSilva, matheus-0063, Victorgabrielcruz	Done					
S02-01 — Realizar treinamento e validar a operação [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/69	JonathaDaSilva, matheus-0063, Victorgabrielcruz	Done					
S02-04 — Executar os trials do bloco B3 [S02]	https://github.com/Victorgabrielcruz/lab-medicao-e-experimentacao-de-software/issues/72	JonathaDaSilva, matheus-0063, Victorgabrielcruz	Done					
